filename,mawb,consignee,shipper,wieght,Origin,nature OF good,dest,agent
/home/arya/Desktop/shipmnts/OTH-M/2216/10.jpg,[u'023 1017 4964 '],,"LESLLINALLON

     

[RPORT

[IPPER'S - | CONE","[u'90,00', u'90,00', u'0,54']",,,AIRPORT,
/home/arya/Desktop/shipmnts/OTH-M/2216/5.jpg,[u'932 4418 2762\n'],,None,"[u'300,00', u'1,80']",,,AIRPORT,
/home/arya/Desktop/shipmnts/OTH-M/632/6.jpg,[u'157-36870374'],"idddiNEE: @G WwViadh

JEENA HOUSE

A BAETFAT TN SN W TN","IANUFACTURING INL
[UMP RD","[u'18,24', u'18,24']",,"[INE PARTS
e 18,242.97",,
/home/arya/Desktop/shipmnts/OTH-M/632/8.jpg,[u'176-87897703'],"[u'TO:', u'DATE', u'MAWB', u'NO']","AK INDUSTRIS
WILDWOOD DRIVE","[u'1,84', u'4,86', u'66,85', u'1,84', u'4,86', u'66,85']","300,","RAFT PARTS
e 66,851.68",,
/home/arya/Desktop/shipmnts/OTH-M/632/1.jpg,[u'724-66494245'],"[u'TO:', u'DATE', u'MAWB', u'NO']","{ TRACTOR PARTS
N.W. 77TH CT","[u'3,11']",,'HMOVING PARTS,,
/home/arya/Desktop/shipmnts/OTH-M/632/3.jpg,[u'157-38565660'],"VidddiNEE: @G WwViadh

G 7 ASHOKA E

-~ Ny N e","RONIC CORPORATION
APDEN ROAD",-,,> CONTROL PARTS,,
/home/arya/Desktop/shipmnts/OTH-M/632/10.jpg,[u'105-60221210'],"[u'TO:', u'DATE', u'MAWB', u'NO']","T & CRAIG OF AME
DOPER RD","[u'1,89', u'1,89']",,"'NE LEATHER
e 24,829.80",,
/home/arya/Desktop/shipmnts/OTH-M/632/4.jpg,[u'176-88185252'],"[u'TO:', u'DATE', u'MAWB', u'NO']","2 SYSTEMS INC.
LINCOLN AVENUE","[u'3,92', u'3,92']",,"[ETIC PARTICLE
e 3,928.35",ICS,
/home/arya/Desktop/shipmnts/OTH-M/632/7.jpg,[u'724-65929065'],"[u'TO:', u'DATE', u'MAWB', u'NO']","INDUSTRIES INC
VART COURT","[u'10,39', u'10,39']",,"HAZ MATERIALS
e 10,393.91",,
/home/arya/Desktop/shipmnts/OTH-M/632/5.jpg,[u'125-46699973'],"[u'TO:', u'DATE', u'MAWB', u'NO']","[ AEROSYSTEMS
5 .OLIVER","[u' 288.96', u' 288.96']",,", SHEET
e 288.96",,
/home/arya/Desktop/shipmnts/OTH-M/632/9.jpg,[u'157-35278600'],"[u'TO:', u'DATE', u'MAWB', u'NO']","INC.
RANKLIN TURNPIKE","[u'6,78', u'6,78']",,"S LINE ASSY
e 6,780.00",,
/home/arya/Desktop/shipmnts/OTH-M/1747/6.jpg,[u'014-47881105'],None,None,"[u'1,07']",,,L:,
/home/arya/Desktop/shipmnts/OTH-M/1747/8.jpg,[u'157-33265282'],"U INDUSIRIES LIVHTED
INDUSTRIAL PARK A17-19","DULIUS INDUSIRIALES
MANZANA 53 ZONA INDUSTRI/","[u'4,46', u'4,46']",,,4467.5,
